Layer,Channel_Index,L1_Score,GRA_Score
layer1.2.conv2,15,0.98098564,0.47064529684325307
layer2.0.conv1,0,0.78223,0.8434482967202022
layer2.0.conv1,1,0.14676493,0.3087577349265319
layer2.0.conv1,2,0.19959779,0.22143889733910363
layer2.0.conv1,3,0.37180936,0.4009426759563236
layer2.0.conv1,4,0.6566181,0.6611592051816382
layer2.0.conv1,5,0.6803418,0.4966364839284032
layer2.0.conv1,6,0.21769606,0.7884296436975395
layer2.0.conv1,7,0.25907195,0.8205617156135032
layer2.0.conv1,8,0.49530002,0.8390449436088175
layer2.0.conv1,9,0.33281702,0.8635886854590519
layer2.0.conv1,10,0.73174316,0.35916685894776995
layer2.0.conv1,11,0.5030839,0.7944683064324894
layer2.0.conv1,12,0.8837174,0.8748800754848676
layer2.0.conv1,13,0.559475,0.999999940870813
layer2.0.conv1,14,0.48327282,0.9031434418538752
layer2.0.conv1,15,0.2153125,0.5257213819208011
layer2.0.conv1,16,0.79712653,0.0
layer2.0.conv1,17,0.68760437,0.7766614058439902
layer2.0.conv1,18,0.73244053,0.05394724326929233
layer2.0.conv1,19,0.59540117,0.8689795682181154
layer2.0.conv1,20,0.09251537,0.8947533166602124
layer2.0.conv1,21,0.8060137,0.4165017306872583
layer2.0.conv1,22,0.922096,0.4447880054884926
layer2.0.conv1,23,0.03213267,0.11005739497820108
layer2.0.conv1,24,0.34220934,0.5700076106639788
layer2.0.conv1,25,0.4720942,0.7727134018777879
layer2.0.conv1,26,0.0,0.6894979931582844
layer2.0.conv1,27,0.33826715,0.5986135462041298
layer2.0.conv1,28,1.0,0.35881265934180373
layer2.0.conv1,29,0.8711238,0.6459317940618619
layer2.0.conv1,30,0.65853447,0.9382070882200149
layer2.0.conv1,31,0.29797852,0.8468644726213269
layer2.0.conv2,0,0.4432272,0.7261779393199765
layer2.0.conv2,1,0.4738993,0.24174670348597516
layer2.0.conv2,2,1.0,0.7854324813712527
layer2.0.conv2,3,0.0,0.9999999547348752
layer2.0.conv2,4,0.3053717,0.2556188003706749
layer2.0.conv2,5,0.8848365,0.4321221852659761
layer2.0.conv2,6,0.7198284,0.8394909227164755
layer2.0.conv2,7,0.6868438,0.7809141212007208
layer2.0.conv2,8,0.43509808,0.0
layer2.0.conv2,9,0.39936656,0.874808705089625
layer2.0.conv2,10,0.86561733,0.483041220213378
layer2.0.conv2,11,0.8793473,0.6519715561072664
layer2.0.conv2,12,0.6506914,0.7113529047077842
layer2.0.conv2,13,0.5099956,0.39097777685575696
layer2.0.conv2,14,0.5427443,0.365462410540156
layer2.0.conv2,15,0.46416235,0.5364381090931954
layer2.0.conv2,16,0.38401335,0.728065468295497
layer2.0.conv2,17,0.8942519,0.3607400806861631
layer2.0.conv2,18,0.46416473,0.757151113475172
layer2.0.conv2,19,0.5419303,0.6435265097289409
layer2.0.conv2,20,0.7690889,0.7582894046054923
layer2.0.conv2,21,0.6904284,0.5904204665088734
